Description,Filename,Original URL
"Terracotta & Cotto Look;Terracotta & Cotto Look - Architessa","terracotta-cotto-look-terracotta-cotto-look-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Mediterranean_taza_biscuit_matt_tan_matt_cde10615-9281-4ec3-b502-6195917b6c8f.jpg?v=1711373783"
"Fabric;Fabric - Architessa","fabric-fabric-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/fabric_crash.jpg?v=1711373771"
"Brick Look;","brick-look.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/brickworld_soho_cotto_cafe_close_up.jpg?v=1729528227"
"Natural Stone;Natural Stone - Architessa","natural-stone-natural-stone-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/235262509217.webp?v=1711373775"
"Polished;","polished.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/guimardbath.webp?v=1729529334"
"Paint;","paint.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Gamut.png?v=1742389896"
"Exterior;Exterior - Architessa","exterior-exterior-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Exterior_Tile_-_Bluestone.png?v=1711373771"
"Fireplace Surround;Fireplace Surround - Architessa","fireplace-surround-fireplace-surround-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Fireplace_Surround_-_Globe.png?v=1711373771"
"Kitchen;","kitchen.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Kitchen.jpg?v=1729527823"
"Kitchen Floor;Kitchen Floor - Architessa","kitchen-floor-kitchen-floor-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Kitchen_Floor_Tile_-_Jetty.png?v=1711373771"
"Pavers;Pavers - Architessa","pavers-pavers-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/7ff542a32d1de5fe007f4f9882b13d83.png?v=1711373775"
"Shower Wall;Shower Wall - Architessa","shower-wall-shower-wall-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Shower_Wall_-Kiln_Penny.png?v=1711373779"
"Wall Tile;Wall Tile - Architessa","wall-tile-wall-tile-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Seton.png?v=1711373783"
"Wall Only;","wall-only.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Mississippi_Moire.png?v=1727788034"
"Beige;Beige - Architessa","beige-beige-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Beige.png?v=1711373767"
"Brown;Brown - Architessa","brown-brown-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Brown.png?v=1711373768"
"Cream;Cream - Architessa","cream-cream-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Cream.png?v=1711373771"
"Green;Green - Architessa","green-green-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Green.png?v=1711373771"
"Tan;Tan - Architessa","tan-tan-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Tan.png?v=1711373783"
"Taupe;Taupe - Architessa","taupe-taupe-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Taupe.png?v=1711373783"
"Multicolor;Multicolor - Architessa","multicolor-multicolor-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Multicolor.png?v=1711373775"
"12x24;12x24 - Architessa","12x24-12x24-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/12x24.png?v=1711373766"
"4x6;4x6 - Architessa","4x6-4x6-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/4x6_riviera.jpg?v=1711373766"
"6x36;6x36 - Architessa","6x36-6x36-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/6x36_shale.jpg?v=1711373767"
"8x48;8x48 - Architessa","8x48-8x48-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/8x48_enigma_legno.jpg?v=1711373766"
"12x12;12x12 - Architessa","12x12-12x12-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/12x12_journey.jpg?v=1711373766"
"24x48;24x48 - Architessa","24x48-24x48-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/24x48_palatial.jpg?v=1711373767"
"3x6;3x6 - Architessa","3x6-3x6-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/38bb455ec990e2cad3f55b49420b6a99.jpg?v=1711373768"
"Black;Black - Architessa","black-black-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Black.png?v=1711373767"
"Neutrals;","neutrals.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/arroyo_beige_parquet_mosaic_90026-rs1.jpg?v=1729529246"
"Designer Collections;Designer Collections - Architessa","designer-collections-designer-collections-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/screen_shot_2022-07-18_at_4.49.10_pm_1080x_d8fa71c1-70d0-463a-a37d-5d583f43c31f.webp?v=1711373771"
"Commercial Heavy Traffic;Commercial Heavy Traffic - Architessa","commercial-heavy-traffic-commercial-heavy-traffic-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Commercial_Heavy_Traffic_-_Chicago.png?v=1711373768"
"Indoor;","indoor.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/PopCultureblackdecoroomwall_1.jpg?v=1742387484"
"Accessories;Accessories - Architessa","accessories-accessories-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/accessories.png?v=1711373768"
"Lauren Liess;Lauren Liess - Architessa","lauren-liess-lauren-liess-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/4b2e8c36f0e72b51856fb0f0daa24054.jpg?v=1711373775"
"Deco;Deco - Architessa","deco-deco-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Black_59b5d84f-5eb8-484a-8130-e81fd69379c8.png?v=1711373771"
"Large Format Tile;Large Format Tile - Architessa","large-format-tile-large-format-tile-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/bac132436f940ef70fa927aa3f5c55d6.png?v=1711373775"
"All Products;","all-products.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/capsule_sq_flip.png?v=1729529214"
"Luxury Vinyl Plank;Luxury Vinyl Plank - Architessa","luxury-vinyl-plank-luxury-vinyl-plank-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/LassenInstallRestaurant_2000x_5a0bcd9a-aaa0-4a2c-abe1-e878e04764b6.webp?v=1711373775"
"Zellige Look;Zellige Look - Architessa","zellige-look-zellige-look-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/zellige_taza_d0102805-3be8-4777-8485-2dcc1fae1b09.jpg?v=1711373783"
"8x8;8x8 - Architessa","8x8-8x8-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/8x8_vibes.jpg?v=1711373768"
"4x4;4x4 - Architessa","4x4-4x4-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/4x4_riviera.jpg?v=1711373768"
"3x12;3x12 - Architessa","3x12-3x12-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/3x12_ellis.jpg?v=1711373767"
"Marble;","marble.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/checkerboard_install_3_a0be4b7e-045e-4733-ae19-7efb03a78339.jpg?v=1742389536"
"Natural Stone Slabs;Natural Stone Slabs - Architessa","natural-stone-slabs-natural-stone-slabs-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/slab_elevated.jpg?v=1711373775"
"Commercial Traffic;Commercial Traffic - Architessa","commercial-traffic-commercial-traffic-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Commercial_Traffic_-_Charme_Eco.png?v=1711373768"
"MOSA Collections;MOSA Collections - Architessa","mosa-collections-mosa-collections-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Mosa-Terra-Tones-06_2000x_jpg.webp?v=1711373765"
"Terrazzo Look;Terrazzo Look - Architessa","terrazzo-look-terrazzo-look-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/f27263e1953c2d7177abdc91c78ac82b.jpg?v=1711373783"
"Installation Materials;Installation Materials - Architessa","installation-materials-installation-materials-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/a38e4f29ab47a3e10eb414759d26c979.jpg?v=1711373771"
"Grout & Caulk;Grout & Caulk - Architessa","grout-caulk-grout-caulk-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/grout_caulk.png?v=1711373771"
"Herringbone;Herringbone Tile","herringbone-herringbone-tile.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Himalaya.png?v=1681242872"
"Penny Round;Penny Round","penny-round-penny-round.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Method.png?v=1681243337"
"Picket;","picket.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/gradientinstallresidentialbathroomsink_greigeglosscrayon.jpg?v=1742388686"
"Organic;","organic.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/spindrift_glass_glacier_gloss_shower-wall_rendering_island-stone-1200x792-e5f4572_1200x792_125216ab-720e-4a24-bd9f-563befaaff53.jpg?v=1742388532"
"Specialty Tile;White hexagon marble tile with a bee emblem","specialty-tile-white-hexagon-marble-tile-with-a-bee-emblem.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/GeometricalHoneycombStaged2_2000x_c71c6dc5-fc65-4457-b977-2045231faa84.webp?v=1682366788"
"All Stock Collections;All Stock Collections - Architessa","all-stock-collections-all-stock-collections-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/all_stock_-_tangier.png?v=1711373768"
"Cement;Cement - Architessa","cement-cement-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/1659517504_1024x1024_2000x_3c8ca33f-fbf8-48ae-a030-0f074b79413f.webp?v=1711373768"
"Bohemian;Bohemian - Architessa","bohemian-bohemian-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Bohemian_amb_WZ_tahiti_A.jpg?v=1711373767"
"Handmade Look;","handmade-look.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/brazen_twilight.png?v=1742388063"
"Zen;Zen - Architessa","zen-zen-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/zen_osaka.jpg?v=1711373783"
"Art Deco;Art Deco - Architessa","art-deco-art-deco-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/vibes_install_square.jpg?v=1711373767"
"Botanical & Organic;Botanical & Organic - Architessa","botanical-organic-botanical-organic-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Bohemian_amb_WZ_tahiti_A_d5e687ee-841e-4ff5-bfc1-5eb66f3eb171.jpg?v=1711373767"
"All Interior Floor;All Interior Floor - Architessa","all-interior-floor-all-interior-floor-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/All_Interior_Floor_Tile_-_Dolomites.png?v=1711373768"
"Bathroom Floor;Bathroom Floor - Architessa","bathroom-floor-bathroom-floor-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Bathroom_Floor_-_Manta.png?v=1711373767"
