Image URL,Image Title,Image Caption
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/8x48_enigma_legno.jpg?v=1711373766,8x48,8x48 - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/12x12_journey.jpg?v=1711373766,12x12,12x12 - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/24x48_palatial.jpg?v=1711373767,24x48,24x48 - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/38bb455ec990e2cad3f55b49420b6a99.jpg?v=1711373768,3x6,3x6 - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Black.png?v=1711373767,Black,Black - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/arroyo_beige_parquet_mosaic_90026-rs1.jpg?v=1729529246,Neutrals,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/screen_shot_2022-07-18_at_4.49.10_pm_1080x_d8fa71c1-70d0-463a-a37d-5d583f43c31f.webp?v=1711373771,Designer Collections,Designer Collections - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Commercial_Heavy_Traffic_-_Chicago.png?v=1711373768,Commercial Heavy Traffic,Commercial Heavy Traffic - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/PopCultureblackdecoroomwall_1.jpg?v=1742387484,Indoor,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/accessories.png?v=1711373768,Accessories,Accessories - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/4b2e8c36f0e72b51856fb0f0daa24054.jpg?v=1711373775,Lauren Liess,Lauren Liess - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Black_59b5d84f-5eb8-484a-8130-e81fd69379c8.png?v=1711373771,Deco,Deco - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/bac132436f940ef70fa927aa3f5c55d6.png?v=1711373775,Large Format Tile,Large Format Tile - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/capsule_sq_flip.png?v=1729529214,All Products,
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/LassenInstallRestaurant_2000x_5a0bcd9a-aaa0-4a2c-abe1-e878e04764b6.webp?v=1711373775,Luxury Vinyl Plank,Luxury Vinyl Plank - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/zellige_taza_d0102805-3be8-4777-8485-2dcc1fae1b09.jpg?v=1711373783,Zellige Look,Zellige Look - Architessa
https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/8x8_vibes.jpg?v=1711373768,8x8,8x8 - Architessa
